Wall time,Step,Value
1595495624.9458473,8750,32.000789642333984
1595495737.7778432,8800,34.56160354614258
1595495856.3011005,8850,34.38823318481445
1595495978.1733246,8900,32.96385192871094
1595496208.3674297,9000,32.91695785522461
1595496322.2378776,9050,32.86158752441406
1595496442.5665784,9100,30.811491012573242
1595496562.455754,9150,32.11315155029297
1595496683.0413392,9200,36.37179183959961
1595496802.037367,9250,34.058067321777344
1595496919.0733883,9300,34.20071792602539
1595497038.8624568,9350,33.22820281982422
1595497164.013278,9400,33.509788513183594
1595497405.9270136,9500,32.36068344116211
1595497519.2010045,9550,31.71521759033203
1595497862.7295942,9700,33.581016540527344
1595498321.770789,9900,34.92391586303711
1595498437.6597993,9950,32.614070892333984
1595498669.2042437,10050,35.516357421875
1595498776.5714288,10100,33.48460006713867
1595498887.4861805,10150,34.23975372314453
1595499108.0739107,10250,34.940528869628906
1595499218.701871,10300,33.54907989501953
1595499328.9876728,10350,33.34400177001953
1595499442.21724,10400,33.23931884765625
1595499555.990881,10450,32.8348503112793
1595499907.8742588,10600,31.04010009765625
1595500015.231663,10650,32.698944091796875
1595500137.8018887,10700,33.51708984375
1595500257.6993814,10750,31.55945587158203
1595500609.962184,10900,32.02666473388672
1595500718.173926,10950,32.401466369628906
1595500834.2193434,11000,33.37118911743164
1595500946.9261053,11050,31.769023895263672
1595501053.466815,11100,31.32073211669922
1595501169.7558517,11150,31.630197525024414
1595501392.7975316,11250,34.854270935058594
1595501509.9331713,11300,36.311256408691406
1595501624.3150415,11350,33.40444564819336
1595501847.6805525,11450,32.39398956298828
1595501964.6294167,11500,34.406349182128906
1595502082.4663417,11550,34.02790832519531
1595502199.6869879,11600,32.751155853271484
1595502317.7175639,11650,32.561805725097656
1595502425.5954273,11700,33.174739837646484
1595502531.36015,11750,32.37406921386719
1595502755.7240484,11850,34.465091705322266
1595502864.1558175,11900,34.76746368408203
1595503095.135047,12000,32.5597038269043
1595503210.066255,12050,32.76381301879883
1595503318.6833706,12100,31.372360229492188
1595503564.3948452,12200,34.155418395996094
1595503678.168576,12250,34.9686279296875
1595503782.0008204,12300,33.313148498535156
1595503884.0897372,12350,34.07958221435547
1595504004.7725928,12400,33.98538589477539
1595504120.6734705,12450,32.3947868347168
1595504228.4164808,12500,31.779966354370117
1595504336.155468,12550,31.728431701660156
1595504453.6463969,12600,33.97886657714844
1595504565.44981,12650,32.31566619873047
1595504672.9491544,12700,32.22639083862305
1595504787.0459955,12750,36.92715072631836
1595505132.7605734,12900,32.69602966308594
1595505244.3609657,12950,32.09185028076172
1595505360.5145383,13000,31.815263748168945
1595505474.439207,13050,32.38432312011719
1595505707.3213043,13150,34.076778411865234
1595505931.8562455,13250,31.75252342224121
1595506163.5867116,13350,34.818572998046875
1595506393.9900014,13450,32.9931640625
1595506616.5750408,13550,32.677589416503906
1595506725.4801445,13600,31.355743408203125
1595506839.5968704,13650,32.03205108642578
1595506948.1265893,13700,31.490127563476562
1595507057.6085942,13750,31.762815475463867
1595507275.9282682,13850,30.515947341918945
1595507379.2813697,13900,30.84682273864746
1595507486.7832181,13950,34.275665283203125
1595507600.1964946,14000,32.003902435302734
1595507705.1022289,14050,31.928741455078125
1595507810.0080473,14100,32.17708969116211
1595507920.4073775,14150,32.07362747192383
1595508033.9897885,14200,31.334680557250977
1595508616.229837,14450,32.10652160644531
1595508832.3008316,14550,33.86510467529297
1595508939.4625533,14600,33.65053939819336
1595509164.588091,14700,31.56062126159668
1595509275.8619177,14750,31.777145385742188
1595509390.9431024,14800,31.200115203857422
1595509499.5542743,14850,30.837440490722656
1595509614.9613948,14900,33.997989654541016
1595509725.789439,14950,32.75514602661133
1595509837.1222284,15000,30.895158767700195
1595509961.506828,15050,34.243526458740234
1595510077.0755064,15100,34.38025665283203
1595510189.3937168,15150,32.67029571533203
1595510302.5178692,15200,33.04018783569336
1595510638.7645738,15350,29.510875701904297
1595510763.5784926,15400,30.408498764038086
1595510995.5661569,15500,30.762149810791016
1595511328.7073877,15650,29.905550003051758
1595511447.5200584,15700,31.837451934814453
1595511678.8071756,15800,31.382150650024414
1595511794.4381597,15850,30.820783615112305
1595511916.9251912,15900,31.30305290222168
1595512037.277182,15950,30.42250633239746
1595512149.2409801,16000,29.726032257080078
1595512264.9514258,16050,29.30463218688965
1595512389.4637392,16100,31.141143798828125
1595512509.3090556,16150,30.909095764160156
1595512623.1720793,16200,30.289325714111328
1595512728.7040522,16250,29.967649459838867
1595512834.6503007,16300,30.600494384765625
1595512960.3200731,16350,33.54110336303711
1595513079.275938,16400,31.4617919921875
1595513308.608022,16500,31.63389015197754
1595513423.7806368,16550,31.616851806640625
1595513653.7041743,16650,30.089094161987305
1595513888.3372896,16750,29.549150466918945
1595514111.0566158,16850,28.717641830444336
1595514338.7465491,16950,28.9552001953125
1595514466.748741,17000,31.248750686645508
1595514586.5654182,17050,31.087018966674805
1595514710.8829632,17100,29.950607299804688
1595514820.6894078,17150,31.8915958404541
1595514934.0841193,17200,30.383464813232422
1595515046.8647037,17250,29.976295471191406
1595515161.2572136,17300,29.00032615661621
1595515278.7806132,17350,28.718599319458008
1595515402.0400095,17400,30.888172149658203
1595515517.9211073,17450,31.376758575439453
1595515636.7530444,17500,30.476659774780273
1595515748.3928578,17550,29.346586227416992
1595515857.1877613,17600,28.216102600097656
1595515977.8268998,17650,29.31596565246582
1595516084.3410237,17700,27.782596588134766
1595516308.5971625,17800,30.87744140625
1595516423.4229443,17850,30.451650619506836
1595516541.8291326,17900,29.61690330505371
1595516652.2571447,17950,29.14788055419922
1595516768.715909,18000,27.601741790771484
1595516884.4962692,18050,34.94720458984375
1595516993.076891,18100,27.910131454467773
1595517117.5516496,18150,31.245433807373047
1595517230.0856295,18200,32.0266227722168
1595517348.4366364,18250,30.257287979125977
1595517466.6102765,18300,32.18342971801758
1595517572.3032074,18350,31.07761573791504
1595517694.4945848,18400,30.39407730102539
1595517928.6701186,18500,29.666187286376953
1595518047.5085785,18550,27.650842666625977
1595518280.2300267,18650,30.749990463256836
1595518388.982931,18700,29.449989318847656
1595518508.611496,18750,29.109325408935547
1595518621.0582135,18800,29.634586334228516
1595518736.2792556,18850,28.030988693237305
1595518849.3135233,18900,28.904537200927734
1595518954.8311968,18950,27.677417755126953
1595519193.2122817,19050,29.39453125
1595519308.5168984,19100,29.32358741760254
1595519549.1684532,19200,28.91397476196289
1595519654.7104034,19250,28.266069412231445
1595519768.835448,19300,29.423315048217773
1595519874.880379,19350,28.48779296875
1595519980.7328904,19400,28.390335083007812
1595520205.077124,19500,29.733470916748047
1595520312.5069325,19550,30.180225372314453
1595520428.1929266,19600,29.121044158935547
1595520540.0412176,19650,28.93086814880371
1595520893.9891999,19800,29.267715454101562
1595521113.1391983,19900,28.634580612182617
1595521235.3971732,19950,28.089778900146484
1595521460.3930538,20050,28.415363311767578
1595521566.252085,20100,27.619495391845703
1595521673.6937654,20150,28.12236785888672
1595521904.0467818,20250,30.154006958007812
1595522010.7025104,20300,28.631980895996094
1595522243.7087326,20400,26.925128936767578
1595522469.014912,20500,31.231977462768555
1595522580.4105237,20550,29.884159088134766
1595522917.4881635,20700,28.5369815826416
1595523020.7519078,20750,28.847686767578125
1595523137.354591,20800,27.72053337097168
1595523481.117297,20950,27.121068954467773
1595523594.192112,21000,30.43993377685547
1595523706.3608794,21050,29.04206657409668
1595523822.306775,21100,28.7574405670166
1595523937.5696428,21150,29.452903747558594
1595524058.2614324,21200,29.02967071533203
1595524284.7490149,21300,27.29111671447754
1595524529.0215702,21400,30.633188247680664
1595524755.0441885,21500,27.40024757385254
1595524982.338814,21600,26.614439010620117
1595525320.226848,21750,30.156238555908203
1595525436.5353143,21800,28.887310028076172
1595525654.9247124,21900,26.940549850463867
1595525767.3635573,21950,26.97998809814453
1595525885.6201515,22000,28.960803985595703
1595526001.0336764,22050,28.23951530456543
1595526113.361672,22100,28.764284133911133
1595526332.2835739,22200,28.210683822631836
1595526446.3652103,22250,26.85883140563965
1595526562.9414124,22300,26.396549224853516
1595526687.0374248,22350,30.1666202545166
1595526794.0911233,22400,28.56314468383789
1595526899.3908248,22450,29.236061096191406
1595527005.5206032,22500,28.13393783569336
1595527112.5131211,22550,27.800247192382812
1595527224.165722,22600,27.37430191040039
1595527346.1179965,22650,27.431194305419922
1595527467.669863,22700,27.210636138916016
1595527587.161408,22750,29.413795471191406
1595527809.5002367,22850,28.117813110351562
1595527926.3791435,22900,27.878389358520508
1595528043.1901574,22950,28.339101791381836
1595528165.1422477,23000,26.9245548248291
1595528283.2188778,23050,28.2510929107666
1595528410.1451993,23100,29.087173461914062
1595528524.9887564,23150,28.882118225097656
1595528641.0142584,23200,27.48834991455078
1595528753.833531,23250,27.77362632751465
1595528861.295131,23300,26.956722259521484
1595528963.1198714,23350,26.25768280029297
1595529082.8237698,23400,32.368404388427734
1595529186.3380678,23450,27.173866271972656
1595529312.975841,23500,31.23183822631836
1595529421.954644,23550,29.828144073486328
1595529537.1491945,23600,26.694774627685547
1595529652.408775,23650,28.694334030151367
1595529762.0298443,23700,28.79183578491211
1595530109.041516,23850,26.574052810668945
1595530221.6279345,23900,26.62843132019043
1595530673.4059176,24100,32.285675048828125
1595531012.8001347,24250,27.642322540283203
1595531128.1425633,24300,27.634944915771484
1595531240.5015771,24350,27.097389221191406
1595531346.2727096,24400,27.109539031982422
1595531457.6775477,24450,26.99333953857422
1595531689.8506799,24550,28.431529998779297
1595531808.5368226,24600,28.044212341308594
1595531915.5309155,24650,27.05756378173828
1595532246.0037818,24800,30.170021057128906
1595532346.506526,24850,29.99341583251953
1595532572.119241,24950,26.916919708251953
1595533019.1555789,25150,27.790285110473633
1595533125.6878073,25200,28.074312210083008
1595533246.807504,25250,27.374412536621094
1595533359.4802501,25300,26.029277801513672
1595533465.2102427,25350,29.197540283203125
1595533581.2234855,25400,28.198570251464844
1595533692.7949224,25450,27.072038650512695
1595533806.3969777,25500,27.99768829345703
1595533927.5862014,25550,25.859886169433594
1595534039.4622848,25600,27.264625549316406
1595534279.3183684,25700,28.447933197021484
1595534396.00321,25750,29.332340240478516
1595534504.1205144,25800,28.18071746826172
1595534618.2680287,25850,28.734128952026367
1595534732.7912762,25900,26.418930053710938
1595534845.444336,25950,27.43907356262207
1595534961.8314493,26000,27.236618041992188
1595535301.205132,26150,29.152549743652344
1595535411.0257854,26200,27.979324340820312
1595535519.6105213,26250,27.6673526763916
1595536196.0777853,26550,29.388675689697266
1595536413.1530783,26650,27.22689437866211
1595536522.8344748,26700,26.099496841430664
1595536635.8430977,26750,26.296491622924805
1595536762.34511,26800,30.164321899414062
1595536878.4151487,26850,29.412559509277344
1595536987.5399563,26900,30.108814239501953
1595537094.398498,26950,27.37364959716797
1595537195.554646,27000,27.183238983154297
1595537309.0760372,27050,26.712600708007812
1595537418.009154,27100,26.532424926757812
1595537531.3717096,27150,26.670080184936523
1595537635.6119106,27200,26.533626556396484
1595537747.7948308,27250,28.779521942138672
1595537850.546109,27300,27.148258209228516
1595537958.1852872,27350,26.737287521362305
1595538077.5805016,27400,27.805633544921875
1595538186.620727,27450,29.87786102294922
1595538397.0904453,27550,27.518695831298828
1595538507.573706,27600,28.443161010742188
1595538622.421244,27650,28.064191818237305
1595538841.569908,27750,27.236377716064453
1595539069.5340564,27850,28.058080673217773
1595539308.1599467,27950,28.022064208984375
1595539421.2241962,28000,27.609634399414062
1595539530.9331017,28050,27.301557540893555
1595539762.9454057,28150,28.29082489013672
1595539868.6582274,28200,28.541990280151367
1595539976.7581732,28250,27.895490646362305
1595540197.5994577,28350,26.394657135009766
1595540310.9293733,28400,27.249401092529297
1595540417.9575274,28450,27.378673553466797
1595540528.0815134,28500,26.776023864746094
1595540646.499769,28550,27.12994956970215
1595540752.7137218,28600,29.259153366088867
1595540870.9363453,28650,27.342845916748047
1595540988.61635,28700,26.88547706604004
1595541207.0458164,28800,27.17266082763672
1595541312.514346,28850,26.8751277923584
1595541420.8154142,28900,26.90564727783203
1595541532.5081382,28950,26.115896224975586
1595541647.5738468,29000,29.7425537109375
1595541756.6599467,29050,29.229631423950195
1595541875.3951104,29100,28.76588249206543
1595541994.49154,29150,28.827119827270508
1595542106.9297228,29200,28.694189071655273
1595542214.4807198,29250,28.270854949951172
1595542331.9182296,29300,27.904850006103516
1595542444.525869,29350,27.116012573242188
1595542549.346127,29400,26.554508209228516
1595542653.9315653,29450,26.806316375732422
1595542889.6317482,29550,28.35972023010254
